Gene Symbol,EntrezGene
 AAK1, 22848
 ABCB4, 5244
 ABCC6, 368
 ABHD2, 11057
 ABLIM2, 84448
 ABRA, 137735
 ACAD10, 80724
 ACSL3, 2181
 ACVR2B, 93
 ADAM22, 53616
 AFF1, 4299
 AGPAT9, 84803
 AGTPBP1, 23287
 AKIRIN2, 55122
 ALDH8A1, 64577
 ALG10B, 144245
 ALPK2, 115701
 AMD1, 262
 AMPD3, 272
 AMT, 275
 ANGPT1, 284
 ANGPTL2, 23452
 ANK2, 287
 ANK3, 288
 ANKRD1, 27063
 ANKRD11, 29123
 ANKRD28, 23243
 ANKRD29, 147463
 ANKRD36B (includes others), 375248|57730|400986
 ANKS1A, 23294
 ANXA3, 306
 APOL6, 80830
 AQP3, 360
 ARHGAP6, 395
 ARHGAP17, 55114
 ARHGAP18, 93663
 ARHGAP32, 9743
 ARID1B, 57492
 ARID5A, 10865
 ARID5B, 84159
 ARIH1, 25820
 ARRDC2, 27106
 ASAH1, 427
 ASB5, 140458
 ASXL2, 55252
 ATF3, 467
 ATG4C, 84938
 ATL2, 64225
 ATM, 472
 ATP6AP1L, 92270
 ATP8B1, 5205
 ATXN1, 6310
 AUTS2, 26053
 AVIL, 10677
 AXIN2, 8313
 AZIN1, 51582
 B3GNT5, 84002
 BACH2, 60468
 BCAR3, 8412
 BCAS2, 10286
 BICD1, 636
 BMPR1B, 658
 BTN2A1, 11120
 BTN3A1, 11119
 C14orf43, 91748
 C14orf147, 171546
 C17orf91, 84981
 C18orf1, 753
 C1orf51, 148523
 C1orf163, 65260
 C1S, 716
 C20orf94, 128710
 C20orf197, 284756
 C2orf67, 151050
 C3orf26, 84319
 C5orf13, 9315
 C7orf58, 79974
 C9orf3, 84909
 CAMK2D, 817
 CARD8, 22900
 CBX5, 23468
 CCDC17, 149483
 CCDC41, 51134
 CCDC82, 79780
 CCDC136, 64753
 CCDC88A, 55704
 CCRN4L, 25819
 CD55, 1604
 CDC37L1, 55664
 CDCA7L, 55536
 CDH11, 1009
 CDK4, 1019
 CDKN1A, 1026
 CEACAM1 (includes others), 634|4680|1048
 CELF2, 10659
 CEP192, 55125
 CES2, 8824
 CETN3, 1070
 CFLAR, 8837
 CHD6, 84181
 CHD1L, 9557
 CHST3, 9469
 CHST15, 51363
 CHSY3, 337876
 CIAPIN1, 57019
 CKAP2, 26586
 CLDN12, 9069
 CLIP1, 6249
 CLOCK, 9575
 CNBP, 7555
 CNIH4, 29097
 CNKSR2, 22866
 COL27A1, 85301
 COL4A2, 1284
 COL4A3, 1285
 COL4A4, 1286
 COL4A5, 1287
 COLQ, 8292
 COX4I1, 1327
 CREB1, 1385
 CREB5, 9586
 CRIM1, 51232
 CRK, 1398
 CRY1, 1407
 CSNK1G1, 53944
 CSRNP2, 81566
 CTAGE5, 4253
 CTH, 1491
 CTPS2, 56474
 CTSC, 1075
 CTTN, 2017
 CUL1, 8454
 CUL4B, 8450
 CUX1, 1523
 CX3CR1, 1524
 CYP2E1, 1571
 CYP2U1, 113612
 CYR61, 3491
 CYTH1, 9267
 DAAM1, 23002
 DAPK3, 1613
 DBP, 1628
 DDIT3, 1649
 DDIT4, 54541
 DDO, 8528
 DDX10, 1662
 DFNA5, 1687
 DGKD, 8527
 DGKZ, 8525
 DIAPH1, 1729
 DIDO1, 11083
 DIP2A, 23181
 DLGAP4, 22839
 DNAJA4, 55466
 DNAJB4, 11080
 DNAJB5, 25822
 DNAJB6, 10049
 DNAJC12, 56521
 DOK7, 285489
 DTNA, 1837
 DTNBP1, 84062
 DUSP4, 1846
 DUSP14, 11072
 DUSP16, 80824
 DYNLT1, 6993
 DYRK2, 8445
 EFHC1, 114327
 EGFR, 1956
 EGLN1, 54583
 EHBP1, 23301
 EIF2AK3, 9451
 EIF2C2, 27161
 EIF4E, 1977
 ELF2, 1998
 ENAH, 55740
 ENAM, 10117
 ENC1, 8507
 ENDOD1, 23052
 EPDR1, 54749
 EPHA4, 2043
 ERBB4, 2066
 ERCC4, 2072
 ETS2, 2114
 ETV6, 2120
 EXOC4, 60412
 FAM102A, 399665
 FAM110B, 90362
 FAM111A, 63901
 FAM117B, 150864
 FAM135A, 57579
 FAM13C, 220965
 FAM40B, 57464
 FAM59A, 64762
 FAM65B, 9750
 FAM69A, 388650
 FANCG, 2189
 FBXO3, 26273
 FBXO34, 55030
 FCN3, 8547
 FIGN, 55137
 FIGNL1, 63979
 FILIP1L, 11259
 FKBP5, 2289
 FLNC, 2318
 FLRT2, 23768
 FMNL2, 114793
 FNBP1, 23048
 FNDC3B, 64778
 FNIP2, 57600
 FOSL2, 2355
 FOXN2, 3344
 FOXO1, 2308
 FOXO3, 2309
 FRMD6, 122786
 FRMPD1, 22844
 FSCN1, 6624
 FZD4, 8322
 GAB1, 2549
 GABARAPL1, 23710
 GADD45G, 10912
 GBP1, 2633
 GCLM, 2730
 GEM, 2669
